Date,Fund,NAV,India_10Y_Yield,Total_AUM_Lakhs,Reported_NAV_Total,Cash_Liquidity,AAA_Sovereign,AA_Rated,Below_AA
10-04-2024,SBI,44.1597,7.116,247864.69,100,0,23.55784062,62.15938303,14.28277635
12-04-2024,SBI,44.1439,7.179,247864.69,100,0,23.55784062,62.15938303,14.28277635
15-04-2024,SBI,44.1709,7.175,247864.69,100,0,23.55784062,62.15938303,14.28277635
16-04-2024,SBI,44.1756,7.193,247864.69,100,0,23.55784062,62.15938303,14.28277635
18-04-2024,SBI,44.1877,7.18,247864.69,100,0,23.55784062,62.15938303,14.28277635
19-04-2024,SBI,44.1706,7.225,247864.69,100,0,23.55784062,62.15938303,14.28277635
22-04-2024,SBI,44.2173,7.192,247864.69,100,0,23.55784062,62.15938303,14.28277635
23-04-2024,SBI,44.2328,7.167,247864.69,100,0,23.55784062,62.15938303,14.28277635
24-04-2024,SBI,44.2306,7.186,247864.69,100,0,23.55784062,62.15938303,14.28277635
25-04-2024,SBI,44.2354,7.204,247864.69,100,0,23.55784062,62.15938303,14.28277635
26-04-2024,SBI,44.2443,7.199,247864.69,100,0,23.55784062,62.15938303,14.28277635
29-04-2024,SBI,44.2703,7.196,247864.69,100,0,23.55784062,62.15938303,14.28277635
30-04-2024,SBI,44.2723,7.195,247864.69,100,0,23.55784062,62.15938303,14.28277635
02-05-2024,SBI,44.3031,7.162,246393.03,100,0,26.08829253,60.87268258,13.03902489
03-05-2024,SBI,44.3233,7.149,246393.03,100,0,26.08829253,60.87268258,13.03902489
06-05-2024,SBI,44.3751,7.108,246393.03,100,0,26.08829253,60.87268258,13.03902489
07-05-2024,SBI,44.3804,7.129,246393.03,100,0,26.08829253,60.87268258,13.03902489
08-05-2024,SBI,44.3902,7.138,246393.03,100,0,26.08829253,60.87268258,13.03902489
09-05-2024,SBI,44.3941,7.135,246393.03,100,0,26.08829253,60.87268258,13.03902489
10-05-2024,SBI,44.4077,7.127,246393.03,100,0,26.08829253,60.87268258,13.03902489
13-05-2024,SBI,44.4398,7.116,246393.03,100,0,26.08829253,60.87268258,13.03902489
14-05-2024,SBI,44.4619,7.109,246393.03,100,0,26.08829253,60.87268258,13.03902489
15-05-2024,SBI,44.4822,7.086,246393.03,100,0,26.08829253,60.87268258,13.03902489
16-05-2024,SBI,44.5012,7.076,246393.03,100,0,26.08829253,60.87268258,13.03902489
17-05-2024,SBI,44.4992,7.095,246393.03,100,0,26.08829253,60.87268258,13.03902489
21-05-2024,SBI,44.5432,7.078,246393.03,100,0,26.08829253,60.87268258,13.03902489
22-05-2024,SBI,44.5717,6.997,246393.03,100,0,26.08829253,60.87268258,13.03902489
24-05-2024,SBI,44.7515,6.998,246393.03,100,0,26.08829253,60.87268258,13.03902489
27-05-2024,SBI,44.7848,6.981,246393.03,100,0,26.08829253,60.87268258,13.03902489
28-05-2024,SBI,44.7804,6.995,246393.03,100,0,26.08829253,60.87268258,13.03902489
29-05-2024,SBI,44.7846,7.008,246393.03,100,0,26.08829253,60.87268258,13.03902489
30-05-2024,SBI,44.7904,7.003,246393.03,100,0,26.08829253,60.87268258,13.03902489
31-05-2024,SBI,44.8044,6.986,246393.03,100,0,26.08829253,60.87268258,13.03902489
03-06-2024,SBI,44.6512,6.947,243386.31,100,0,19.71730001,66.51643962,13.76626037
04-06-2024,SBI,44.5792,7.033,243386.31,100,0,19.71730001,66.51643962,13.76626037
05-06-2024,SBI,44.6088,7.026,243386.31,100,0,19.71730001,66.51643962,13.76626037
06-06-2024,SBI,44.6315,7.015,243386.31,100,0,19.71730001,66.51643962,13.76626037
07-06-2024,SBI,44.6429,7.018,243386.31,100,0,19.71730001,66.51643962,13.76626037
10-06-2024,SBI,44.8688,7.032,243386.31,100,0,19.71730001,66.51643962,13.76626037
11-06-2024,SBI,44.8901,7.014,243386.31,100,0,19.71730001,66.51643962,13.76626037
12-06-2024,SBI,44.8978,7.012,243386.31,100,0,19.71730001,66.51643962,13.76626037
